X,Y,OBJECTID,station_id,sara_short,results,units,latitude_m,longitude_,waterbody_,Result1,Geomean,result1Min,result1Max,date,dates,isEndDate,recent_dat,rec_date,max_date,max_dat,URL,URLName,ESRI_OID,GlobalID,county_name
-98.4982,29.4316,86509,S0069,San Pedro Creek Culture Park,190,MPN/100ml,29.43162,-98.49822,San Pedro Creek,190,727,10,1400000,2018/11/02,2018/11/03 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,aa51e135-07e5-45f4-a66b-a306fc92857f,Bexar
-98.4982,29.4316,86510,S0069,San Pedro Creek Culture Park,610,MPN/100ml,29.43162,-98.49822,San Pedro Creek,610,727,10,1400000,2018/11/03,2018/11/04 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,842122c7-1b0a-4aa6-ad7e-dfdccb47214d,Bexar
-98.4982,29.4316,86511,S0069,San Pedro Creek Culture Park,580,MPN/100ml,29.43162,-98.49822,San Pedro Creek,580,727,10,1400000,2018/11/04,2018/11/05 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,c8bcfa56-a00b-4676-bcda-fb94c63cd194,Bexar
-98.4982,29.4316,86512,S0069,San Pedro Creek Culture Park,580,MPN/100ml,29.43162,-98.49822,San Pedro Creek,580,727,10,1400000,2018/11/05,2018/11/06 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,1abf70dd-b57f-4d49-b452-1b7c4611a24b,Bexar
-98.4982,29.4316,86513,S0069,San Pedro Creek Culture Park,550,MPN/100ml,29.43162,-98.49822,San Pedro Creek,550,727,10,1400000,2018/11/06,2018/11/07 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,c88e40e6-45fa-4545-a274-c45023cb1122,Bexar
-98.4982,29.4316,86514,S0069,San Pedro Creek Culture Park,650,MPN/100ml,29.43162,-98.49822,San Pedro Creek,650,727,10,1400000,2018/10/26,2018/10/27 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,f0cd9ce6-2519-4b47-a9c6-a58ee382a8a2,Bexar
-98.4982,29.4316,86515,S0069,San Pedro Creek Culture Park,980,MPN/100ml,29.43162,-98.49822,San Pedro Creek,980,727,10,1400000,2018/10/27,2018/10/28 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,88efb8c5-2b94-4361-8695-dedc3eb3d798,Bexar
-98.4982,29.4316,86516,S0069,San Pedro Creek Culture Park,650,MPN/100ml,29.43162,-98.49822,San Pedro Creek,650,727,10,1400000,2018/10/28,2018/10/29 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,2b2caf80-8bc9-4ece-a59e-2bc8524491b7,Bexar
-98.4982,29.4316,86517,S0069,San Pedro Creek Culture Park,520,MPN/100ml,29.43162,-98.49822,San Pedro Creek,520,727,10,1400000,2018/10/29,2018/10/30 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,5152c87a-dc13-4f6d-bfb9-cec6746fd2d8,Bexar
-98.4982,29.4316,86518,S0069,San Pedro Creek Culture Park,380,MPN/100ml,29.43162,-98.49822,San Pedro Creek,380,727,10,1400000,2018/10/30,2018/10/31 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,0529d7a3-41f0-4eff-b73e-3107699ca72a,Bexar
-98.4982,29.4316,86519,S0069,San Pedro Creek Culture Park,2000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,2000,727,10,1400000,2018/10/31,2018/11/01 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,7bc9a7ee-2295-428f-9b28-aae959063931,Bexar
-98.4982,29.4316,86520,S0069,San Pedro Creek Culture Park,5200,MPN/100ml,29.43162,-98.49822,San Pedro Creek,5200,727,10,1400000,2018/10/19,2018/10/20 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,2a20a750-4f1c-4405-b8e4-556f54e195a6,Bexar
-98.4982,29.4316,86521,S0069,San Pedro Creek Culture Park,900,MPN/100ml,29.43162,-98.49822,San Pedro Creek,900,727,10,1400000,2018/10/20,2018/10/21 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,de30abe5-d261-49a3-9be2-24236875743b,Bexar
-98.4982,29.4316,86522,S0069,San Pedro Creek Culture Park,12000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,12000,727,10,1400000,2018/10/21,2018/10/22 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,eb41aa78-e715-4673-bc0c-9b79e76d7ba3,Bexar
-98.4982,29.4316,86523,S0069,San Pedro Creek Culture Park,2400,MPN/100ml,29.43162,-98.49822,San Pedro Creek,2400,727,10,1400000,2018/10/22,2018/10/23 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,d7bd4188-6a3e-4085-9e26-5b96552e8a81,Bexar
-98.4982,29.4316,86524,S0069,San Pedro Creek Culture Park,11000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,11000,727,10,1400000,2018/10/23,2018/10/24 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,fac252f0-2843-4f44-87f0-6fe0d30fc88d,Bexar
-98.4982,29.4316,86525,S0069,San Pedro Creek Culture Park,24000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,24000,727,10,1400000,2018/10/24,2018/10/25 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,174482e8-35ce-41c6-9dd7-1eae2762a7df,Bexar
-98.4982,29.4316,86526,S0069,San Pedro Creek Culture Park,1600,MPN/100ml,29.43162,-98.49822,San Pedro Creek,1600,727,10,1400000,2018/10/13,2018/10/14 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,ebc3a2d8-8e07-48fd-8b27-36690ff19a5d,Bexar
-98.4982,29.4316,86527,S0069,San Pedro Creek Culture Park,1200,MPN/100ml,29.43162,-98.49822,San Pedro Creek,1200,727,10,1400000,2018/10/14,2018/10/15 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,284806be-bb57-45c4-8ef1-472ed3b543ad,Bexar
-98.4982,29.4316,86528,S0069,San Pedro Creek Culture Park,24000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,24000,727,10,1400000,2018/10/15,2018/10/16 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,dc0540b2-cb90-45a3-a118-022e9f335f55,Bexar
